year,income
1983,10416.53659
1987,12974.80662
2014,41039.8936
1985,11018.95585
1979,7602.912681
1986,11482.89153
1999,17581.02414
2002,19232.17556
2015,35175.18898
1970,3399.299037
2001,18601.39724
2000,18987.38241
1975,5998.144346
1981,9434.390652
2004,25719.14715
1971,3768.297935
2011,42334.71121
1991,17266.09769
1972,4251.175484
2005,29198.05569
1993,15875.58673
2007,36144.48122
1980,8355.96812
1992,16412.08309
1988,15080.28345
2016,34229.19363
1990,16838.6732
1977,7100.12617
2012,42665.25597
1984,10790.32872
1998,16622.67187
2008,37446.48609
